27	378	5020	4547	23649	1381	1859	351	920	25870	1381	1889	9759	9252	2244	9252	1591	1591	7153	196	4988	4625	7421	8648	5707	6390	5460	799	9252	9252	9252	1813	2244	498
28	390	5948	498	5230	5562	10295	821	4322	799	5562	821	547	7133	1345	5901	9252	9252	5707	8435	6256	5020	10057	5020	6257	412	1351	23643	7133	5901	5901	1504	1345	2101
29	3615	7376	5020	112399	2893	56547	2149	5901	6010	2893	8573	5742	5901	5469	1591	5901	5901	51493	4625	2110	5914	5469	8503	190	3456	1327	65078	5901	8204	1591	2893	5469	3055
30	8766	1024	3055	6783	3501	4319	4988	9377	55	3501	5295	8435	1591	8204	7133	10499	10499	4986	1786	4987	196	3065	10499	6890	336	2288	1991	1591	2534	7133	821	8204	1269
31	7052	6567	7153	3098	5166	79148	1803	9252	3497	5166	1504	10499	10499	811	10499	7133	7133	5536	6095	10206	5707	3276	2770	26330	1991	1350	2205	10499	10499	10499	1803	811	9971
32	2618	9262	7421	1121	1815	64386	4986	2244	3689	1815	1141	2099	2534	2534	2534	1387	1387	1854	2516	10499	2770	6195	5707	1374	5408	1340	6390	2534	1591	2534	5295	2534	2739
33	5898	5319	2100	5564	5478	4317	1131	4513	80332	5478	54	5743	1387	2172	1387	8648	8648	8648	5034	8648	1269	5034	196	5216	2205	811	716	1387	811	1387	2162	2172	5020
34	2935	7421	5294	4144	100	4316	1128	1329	65078	100	1800	3174	811	9146	8648	811	811	4988	5465	196	7125	2934	5914	2099	714	23643	412	811	6857	8648	2147	9146	2100
35	5138	90411	7184	26275	2053	5295	2893	9146	23541	2053	2893	10062	8648	10096	811	2534	2534	2110	5020	154	5126	6096	7125	1854	23643	5469	11253	8648	1387	811	4988	10096	7184
36	5464	155	6257	5562	176	1381	4985	2534	2717	176	2149	5914	6857	1346	6857	6857	6857	8435	8841	7155	1727	3932	81551	1786	5657	11315	414308	6857	8648	6857	351	1346	3066
37	471	190	2516	9619	116	6347	7056	10096	23643	116	1815	4642	10096	1349	367	367	367	1727	3065	5707	3763	1786	5126	10057	716	8204	3497	10096	10096	367	1131	1349	5293
38	79631	1645	1024	6648	821	5562	5295	8204	2254	821	1020	196	367	10499	10096	5536	5536	10206	3141	1727	3276	7153	6646	498	799	920	336	367	58	10096	4986	10499	7941
39	3093	2099	23541	32	7035	2893	6531	811	3482	7035	6336	6646	58	58	58	6777	6777	6256	154	1374	2778	5467	1024	5948	414308	79631	80332	58	9146	58	5624	58	5707
40	7450	10499	6195	8566	4905	7035	1129	5469	280	4905	6718	6095	5536	367	5536	100	100	7155	1024	1268	1024	5468	1727	3065	1773	52	8411	5536	7525	5536	1128	367	6195
41	9475	1374	5469	1080	6347	9313	1132	58	7099	6347	6531	2516	9146	9377	9146	5594	5594	4987	8503	8435	1374	1387	1268	5465	3501	7099	2264	9146	5536	9146	3674	9377	2182
42	5876	8856	5915	55244	3118	3501	54331	7525	5660	3118	1990	7941	7525	1329	7525	10096	10096	5290	1727	4049	5290	1499	3763	506	2792	11188	5408	7525	6777	7525	2811	1329	513
43	6519	1854	5742	269	4327	4326	1133	1327	1081	4327	7056	6890	6777	7525	5594	3725	3725	196	3276	1024	6258	51493	2778	6195	358	8648	715	6777	5594	5594	1815	7525	8204
44	6844	9759	5916	4143	476	291	8911	367	6403	476	6331	5293	5594	6857	6777	58	58	81027	1387	5034	3762	5241	1374	5915	2110	10499	2792	5594	367	6777	4985	6857	4363
45	5911	3174	5743	5422	4319	5166	157	1350	523	4319	1128	5916	3725	8648	3725	5914	5914	6323	1374	5914	1144	9262	3065	547	65078	1066	2717	3725	100	3725	1990	8648	2934
46	28960	196	3065	5395	56547	8511	1990	6857	914	56547	5580	9262	100	1387	100	820	820	3932	506	81027	156	8503	4069	10499	2779	9252	2110	100	3725	100	1129	1387	7150
47	5395	7941	513	3799	3141	2053	2162	5594	1588	3141	476	3932	5914	5594	820	7525	7525	1268	6257	5290	5536	1854	3762	7421	1376	2235	5657	5914	7132	820	7057	5594	1374
48	4200	6095	9759	9371	3359	4312	2147	10499	11144	3359	5478	23541	820	4513	5914	9146	9146	5034	6567	4069	4069	3091	156	23541	8411	4322	55	820	5914	5914	2243	4513	3932
