19	131890	9104	389840	132954	6356	1803	2556	10966	713	6356	2898	6192	3218	5087	5763	5763	5763	79809	30836	5992	29028	6605	5992	140886	6391	4306	7386	3218	3218	5763	2895	5087	79746
20	57410	5126	7068	63922	11081	2898	2895	10865	4883	11081	6812	54502	5763	5348	3218	23151	23151	254427	133522	7941	124641	3275	51373	286827	64926	8991	712	5763	5763	3218	1464	5348	64207
21	57480	10902	4602	401024	11197	6373	43	27245	55614	11197	651	57568	23151	26523	23151	5799	5799	375287	135112	64968	5457	140469	64968	135112	55778	915	7384	23151	23151	23151	2554	26523	9509
22	6757	8455	896	53632	58538	11197	2554	30815	250	58538	9625	57644	5799	3218	5799	4297	4297	399671	9219	51373	54020	4162	1834	56829	64784	5763	6010	5799	5799	5799	8499	3218	727851
23	56624	30836	728294	5558	2920	5858	1464	139105	30835	2920	2558	79809	4297	5763	4297	915	915	645683	29028	9219	135112	11064	54020	29079	55167	1059	55133	4297	152137	4297	6718	5763	27141
24	9236	8638	54857	2584	3549	6356	8499	146433	54898	3549	2891	254427	915	23151	915	290	290	100271840	51373	5457	285464	8435	285464	1834	7579	4297	8513	915	4297	915	112	23151	9601
25	163051	6166	3275	6117	7637	58538	112	165530	60481	7637	11197	348158	152137	5799	152137	9414	9414	54502	29931	285464	9620	51676	5457	79746	84080	23151	442454	152137	5348	152137	140838	5799	64756
26	4952	8431	9509	1149	50846	3549	6718	200931	3684	50846	2556	375287	9414	5318	9414	1059	1059	57568	57541	54020	3670	10521	9219	9862	6392	51440	6775065	9414	915	9414	8643	5318	91647
27	10900	150483	6894	56655	5858	7637	284217	342667	4353	5858	5008	399671	1059	27245	1059	5083	5083	57644	85316	9620	1834	6192	23358	64756	713	7026	475	1059	10865	1059	6386	27245	93183
28	128387	8204	10491	219539	2901	50846	140838	378465	1040	2901	2554	645683	5348	165530	5348	80789	80789	348158	150135	84643	1826	79809	9620	91647	538	7110	3684	5348	27245	5348	64130	165530	171177
29	29907	441089	171177	11004	2900	2901	8643	389874	1511	2900	2555	100271840	10865	342667	10865	201266	201266	339967	219293	56945	57504	254427	57504	23543	440567	9414	7579	10865	30815	10865	56850	342667	7737
30	333	10240	4744	137886	3627	2900	6386	140461	57403	3627	2901	9581	27245	378465	30815	8991	8991	56164	64806	3670	51132	375287	64960	6256	8513	29893	7385	27245	139105	30815	80852	378465	64393
31	64216	63948	2739	84517	6352	2554	64130	100130086	1583	6352	3549	23116	30815	10865	139105	7026	7026	23107	10463	57504	9166	399671	56945	8778	55254	2289	6389	30815	146433	139105	6715	10865	23533
32	56255	140886	26152	55432	2554	6352	1282	159119	51022	2554	7637	220108	139105	30815	146433	51440	51440	23529	5992	1826	64960	645683	3670	85293	10747	6249	29796	139105	165530	146433	5727	30815	2046
33	54922	286827	8455	80124	2895	2895	6812	286495	1200	2895	50846	26168	146433	139105	200931	6249	6249	9440	124641	51132	133522	100271840	1826	85446	7386	80789	3848	146433	200931	200931	79882	139105	8644
34	4168	5042	5034	79058	2556	3627	56850	5087	10983	2556	2900	56164	165530	146433	389874	55827	55827	9581	285464	1834	9219	54502	94137	115761	89866	201266	2703	165530	342667	389874	6812	146433	896
35	10239	2312	170591	84905	2558	2558	5727	3218	427	2558	645619	23529	200931	200931	27245	6921	6921	57109	1352	64960	94137	57568	51132	132158	27089	126133	1537	200931	378465	27245	22862	200931	7155
36	1370	90293	9966	5673	2555	2556	80852	5763	55738	2555	55506	8648	342667	389874	165530	27033	27033	441089	1826	90390	54554	57644	9166	388650	4883	6921	220972	342667	389874	165530	145270	389874	2110
37	5357	55806	80139	56776	2891	2555	22862	58533	220972	2891	2023	8735	378465	915	342667	1767	1767	64969	54020	9166	56945	348158	23788	27309	7384	11319	10267	378465	159119	342667	83700	915	55168
38	51806	29079	23533	221935	8643	2891	83700	5799	26034	8643	2895	57631	389874	159119	378465	23038	23038	8735	64968	54554	23788	5956	133522	9326	9721	2498	54949	389874	100130086	378465	2890	159119	506
39	81704	9325	55152	270	112	8643	79882	23151	10747	112	22853	51676	159119	100130086	159119	152137	152137	374920	51116	23788	90390	56164	54554	83473	442454	5452	9235	159119	9414	159119	5582	100130086	10951
40	23708	140469	7067	127733	1464	112	9463	23144	1992	1464	222255	25930	100130086	4297	100130086	5452	5452	6699	5457	94137	9326	23529	90390	55168	6775065	1329	55486	100130086	1059	100130086	8933	4297	51363
41	55008	56829	8648	64946	64130	1464	6715	116071	90060	64130	4986	140469	80789	9414	27033	9455	9455	51116	9166	8563	9862	56945	30836	9219	2703	9455	80012	80789	5318	27033	26071	9414	3266
42	57522	5914	140469	63924	5727	64130	8933	81849	79731	5727	1464	57176	201266	1059	5083	10865	10865	51676	4616	1677	8563	5042	9440	7067	9750	3460	4103	201266	80789	5083	55374	1059	217
43	375189	9968	3694	81617	8499	5727	2890	2963	259197	8499	8448	6699	8991	55827	80789	27245	27245	23116	9620	8085	10463	441089	9862	30836	6010	1767	3456	8991	201266	80789	43	55827	729608
44	4833	55037	26025	55829	6386	8499	8292	915	2205	6386	8447	130507	5083	23038	201266	30815	30815	130507	56945	7799	8085	4298	7941	5042	30835	144715	799	5083	26523	201266	9463	23038	389840
45	5866	9581	27330	11216	22862	6386	26071	4297	735	22862	351	10912	27033	23144	8991	139105	139105	85366	3670	51634	30836	79447	340024	9104	55133	3148	23643	27033	23144	8991	2892	23144	152206
46	26088	84838	54467	107	64499	22862	5582	9414	3456	64499	8499	374920	7026	58533	7026	146433	146433	11064	8648	9440	9440	1834	1269	9440	29796	1345	339970	7026	116071	7026	5532	58533	84245
47	9912	6646	55505	5571	140838	9382	55374	55827	712	140838	4988	4622	5318	8991	5318	165530	165530	124245	9326	6780	4685	5698	9326	140469	150094	3416	65078	5318	8991	5318	284217	8991	23358
48	89781	654	2046	64795	5582	140838	3912	1059	3848	5582	164656	284403	51440	116071	51440	200931	200931	4622	1749	4685	7799	64969	23107	9968	7385	291	1991	51440	81849	51440	5276	116071	54857
49	55026	64969	5349	128866	4267	56850	3359	23038	716	4267	4985	27336	6249	81849	6249	342667	342667	50809	2101	1880	5669	124641	8085	5126	1537	55573	2205	6249	7026	6249	8447	81849	55505
50	56990	23116	154664	109	56850	5582	2892	8991	151258	56850	26249	84129	6921	80789	55827	378465	378465	27336	57504	5433	23107	64960	10463	1269	475	3484	6390	6921	27033	55827	8448	80789	2312
51	143630	64207	3430	23197	5534	63827	1143	92822	1159	5534	10485	8204	1767	201266	26523	389874	389874	6123	64960	5929	1880	6699	8563	170591	55486	7041	716	1767	51440	26523	1143	201266	6610
52	151050	23054	4604	53347	55374	55374	5532	80789	11151	55374	8643	9611	26523	7026	6921	159119	159119	84129	9440	30836	7941	8735	260425	23116	3684	6923	412	26523	6249	6921	4241	7026	4744
53	1730	10987	80351	56252	920	79882	8448	201266	10267	920	8851	11064	55827	6921	1767	100130086	100130086	83473	90390	23107	5433	1352	7799	124641	6389	493829	1161	55827	6921	1767	146712	6921	7169
54	26091	284403	9818	112812	2890	2890	8447	6921	715	2890	6386	124245	23144	51440	23144	5348	5348	25930	53335	2769	7068	27336	2273	441089	360203	635	11253	23144	1767	23144	729967	51440	9921
55	55616	23543	25978	23059	79882	80852	146712	115572	414308	79882	112	7068	116071	6249	23038	9967	9967	30836	51132	339967	57109	130507	4685	56945	6396	2908	259197	116071	55827	23038	1381	6249	140469
