13	20	20	11	22	22	17	25	33	22	19	19	19	21	20	20	20	13	20	14	15	18	15	18	23	32	26	19	19	20	18	21	16
70	16	16	83	20	20	19	20	18	20	21	16	18	19	18	18	18	18	18	18	17	14	17	16	20	20	23	18	19	18	20	19	17
17	13	12	14	22	22	19	15	19	22	18	12	11	11	11	11	11	8	12	8	9	10	9	12	15	17	21	11	11	11	19	11	9
37	38	38	41	18	18	25	16	17	18	27	33	22	17	23	23	23	36	38	37	41	38	41	38	25	16	19	22	22	23	25	17	36
35	35	33	35	25	26	30	24	15	25	33	30	27	22	28	28	28	33	35	33	32	34	31	32	23	24	18	27	29	28	30	22	32
21	51	48	18	30	30	36	22	20	30	33	39	28	20	29	29	29	38	49	37	42	47	41	44	28	30	21	28	28	29	36	20	41
25	18	17	20	34	34	26	18	25	34	26	17	14	15	14	14	14	10	17	10	12	15	12	14	19	24	27	14	14	14	27	15	13
35	35	34	38	22	23	26	18	12	22	26	29	21	16	21	21	21	31	34	30	29	34	29	31	18	21	13	21	22	21	26	16	31
12	11	10	11	10	11	9	16	39	10	10	14	15	16	15	16	16	10	12	11	13	9	12	10	23	15	27	15	15	15	10	16	10
36	41	39	37	19	20	26	18	15	19	29	33	22	16	22	23	23	35	41	36	40	38	39	39	25	18	19	22	22	22	26	16	36
27	31	30	28	18	20	26	14	10	18	26	26	18	12	18	18	18	27	30	27	29	29	28	30	17	16	13	18	19	18	29	12	26
19	14	13	15	24	24	20	16	22	24	20	13	12	12	12	12	12	8	13	9	10	11	10	12	20	19	23	12	12	12	21	12	10
36	34	33	39	23	24	27	18	12	23	27	27	22	16	22	22	22	31	33	29	29	33	28	31	17	22	13	22	22	22	27	16	30
19	68	65	17	22	23	27	24	20	22	26	44	29	22	29	30	30	50	64	51	56	56	55	61	28	28	20	29	29	29	27	22	56
22	17	17	17	24	24	19	18	26	24	18	14	14	15	14	14	14	10	17	10	12	13	12	14	19	27	26	14	14	14	20	15	12
13	24	22	10	13	14	25	17	24	13	25	23	17	13	17	18	18	14	23	14	18	20	18	23	29	20	20	17	17	17	25	13	18
37	39	38	39	18	20	24	18	16	18	26	33	22	17	22	22	22	34	40	35	39	35	38	38	24	17	20	22	22	22	26	17	35
57	18	18	51	20	20	21	12	12	20	23	19	13	10	13	13	13	14	17	14	14	16	14	16	15	14	14	13	14	13	21	10	15
24	18	17	20	33	33	25	19	26	33	24	16	14	15	15	15	15	11	17	11	12	15	12	15	20	26	28	14	14	15	25	15	13
20	55	52	18	21	21	29	18	16	21	31	46	23	15	23	23	23	36	50	36	41	50	40	46	25	23	15	23	23	23	29	15	44
23	18	17	20	26	28	21	20	29	26	21	16	16	16	16	16	16	11	18	12	13	14	13	15	21	27	32	16	15	16	23	16	13
18	6	6	17	30	28	27	8	13	30	28	5	8	8	8	8	8	6	6	6	7	6	6	6	11	10	19	8	8	8	26	8	5
12	5	5	12	21	20	19	7	15	21	19	5	7	7	7	7	7	5	5	5	6	5	5	5	10	10	18	7	7	7	18	7	4
37	37	38	40	17	17	24	16	17	17	26	32	22	17	22	23	23	36	38	37	40	38	40	38	24	16	19	22	22	22	24	17	35
39	39	38	39	18	18	25	17	15	18	27	31	21	15	21	21	21	33	38	34	38	36	37	38	22	18	18	21	21	21	25	15	34
23	19	19	19	34	34	26	20	24	34	26	15	16	17	16	17	17	12	18	12	14	16	14	16	18	28	26	16	16	16	26	17	14
32	23	24	32	31	31	29	45	42	31	27	17	44	46	44	45	45	32	30	34	35	23	35	25	43	29	55	44	44	44	29	46	30
75	14	14	95	17	17	18	19	21	17	20	16	18	19	19	19	19	19	16	18	17	13	17	15	21	16	24	18	20	19	18	19	15
29	9	9	22	21	21	25	10	12	21	28	10	10	9	10	10	10	8	9	7	7	9	7	9	11	13	14	10	10	10	25	9	7
37	31	29	37	23	24	28	16	10	23	29	28	19	15	20	20	20	29	31	27	27	32	26	27	16	18	13	19	20	20	28	15	31
41	22	22	36	32	32	30	32	48	32	30	21	29	31	29	30	30	21	24	22	25	19	25	22	39	29	50	29	29	29	30	31	22
23	23	23	23	15	16	14	42	72	15	14	24	41	44	41	42	42	28	27	29	34	20	33	24	60	34	71	41	40	41	15	44	26
37	31	29	36	25	25	30	15	10	25	30	28	19	14	19	19	19	27	30	26	26	32	26	26	16	16	12	19	20	19	30	14	30
16	17	17	16	18	19	17	28	53	18	19	17	27	29	27	28	28	17	20	18	21	18	21	17	32	31	38	27	27	27	17	29	17
34	32	31	33	26	26	30	16	9	26	31	26	19	14	19	19	19	27	32	26	26	32	25	28	15	16	12	19	20	19	30	14	30
21	14	15	17	21	22	19	19	26	21	18	13	14	15	14	15	15	11	15	11	12	15	12	14	20	25	26	14	14	14	19	15	13
36	38	36	35	20	20	25	18	14	20	25	35	22	17	22	22	22	33	38	32	33	39	32	33	21	18	15	22	23	22	25	17	37
25	54	51	23	20	20	24	17	13	20	26	40	21	16	21	22	22	40	48	40	43	50	43	46	21	20	14	21	21	21	24	16	47
29	38	36	28	29	29	36	18	12	29	38	29	22	16	22	22	22	30	37	30	31	38	30	32	19	18	15	22	22	22	36	16	35
27	52	50	25	19	19	25	16	15	19	27	42	20	15	20	21	21	40	46	39	43	51	42	47	22	18	15	20	20	20	25	15	46
43	25	25	36	28	28	22	29	35	28	21	26	26	28	26	26	26	21	29	21	22	23	21	20	30	35	37	26	27	26	22	28	25
41	24	24	35	27	27	21	28	32	27	20	25	25	27	25	25	25	20	28	20	21	22	20	19	28	33	36	25	25	25	21	27	24
22	22	22	22	14	15	13	40	63	14	13	23	39	42	40	40	40	28	26	28	33	19	32	23	57	31	66	39	39	40	14	42	26
1	1	1	1	1	2	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	1	1	1	2	1	1
42	24	24	35	27	31	21	29	33	27	20	26	26	28	26	27	27	21	29	21	22	23	21	20	30	34	40	26	27	26	24	28	25
48	16	16	51	23	24	22	24	34	23	21	18	23	25	23	23	23	19	18	18	19	15	19	16	27	20	37	23	23	23	22	25	16
28	36	34	24	24	24	31	16	11	24	32	31	20	15	21	21	21	31	35	30	29	39	28	30	17	20	12	20	22	21	31	15	34
22	22	22	22	14	15	13	40	63	14	13	23	39	42	40	40	40	28	26	28	33	19	32	23	57	31	66	39	39	40	14	42	26
31	28	28	27	27	27	20	34	45	27	19	29	32	33	32	32	32	24	33	24	26	26	26	23	40	40	47	32	31	32	21	33	30
32	28	28	27	28	28	21	32	46	28	19	29	29	31	29	30	30	22	33	22	24	26	24	22	36	40	43	29	29	29	21	31	28
22	22	22	22	14	15	13	40	63	14	13	23	39	42	40	40	40	28	26	28	33	19	32	23	57	31	66	39	39	40	14	42	26
42	24	24	36	27	27	21	28	33	27	19	26	25	28	26	26	26	20	28	21	21	23	21	20	29	34	36	25	26	26	21	28	25
24	55	54	23	21	23	27	23	14	21	27	42	27	21	27	27	27	47	53	47	48	54	47	50	24	22	18	27	27	27	28	21	54
50	31	31	58	15	15	22	22	20	15	24	28	28	22	28	28	28	35	34	35	36	31	35	32	26	18	22	28	28	28	22	22	32
43	21	21	38	31	31	29	31	44	31	29	20	28	30	29	29	29	21	23	22	25	18	24	21	38	27	50	28	28	29	29	30	21
36	33	32	43	15	15	22	23	21	15	24	29	29	23	29	29	29	37	35	36	38	32	37	34	27	18	22	29	29	29	22	23	33
35	21	21	35	23	24	22	31	50	23	20	21	30	32	31	31	31	22	24	23	25	19	25	22	38	28	56	30	30	31	22	32	21
35	27	27	31	25	25	19	32	39	25	19	30	28	31	29	29	29	22	31	23	24	26	24	22	33	37	44	28	29	29	20	31	27
